python-commonmark 0.9.1-5
python-contextlib2 21.6.0-1
python-cookiecutter 2.1.1-1
python-cryptography 37.0.4-1
python-cssselect 1.1.0-9
python-dateutil 2.8.2-4
python-decorator 5.1.1-1
python-distlib 0.3.6-1
python-distro 1.7.0-1
python-docopt 0.6.2-11
python-docutils 1:0.19-1
python-executing 1.0.0-1
python-future 0.18.2-7
python-gobject 3.42.2-1
python-greenlet 1.1.3-1
python-html5lib 1.1-11
python-idna 3.3-4
python-inflect 6.0.0-1
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.1-1
python-jaraco.text 3.9.1-1
python-jedi 0.18.1-1
python-jinja 1:3.1.2-2
python-jinja-time 0.2.0-7
python-keyutils 0.6-8
python-lsp-jsonrpc 1.0.0-3
python-lsp-server 1.5.0-1
python-lxml 4.9.1-1
python-markupsafe 2.1.1-1
python-matplotlib-inline 0.1.6-1
python-more-itertools 8.13.0-2
python-msgpack 1.0.4-1
python-mutagen 1.45.1-6
python-mypy_extensions 0.4.3-5
python-nspektr 0.4.0-2
python-numpy 1.23.2-1
python-ordered-set 4.1.0-1
python-packaging 21.3-1
python-parso 1:0.8.3-1
python-pathspec 0.10.1-1
python-pefile 2022.5.30-1
python-pep517 0.13.0-1
python-pexpect 4.8.0-6
python-pickleshare 0.7.5-8
python-pillow 9.2.0-1
python-pip 22.2.2-2
python-pipx 1.1.0-1
python-platformdirs 2.5.2-1
python-pluggy 1.0.0-1
python-ply 3.11-10
python-progress 1.6-5
python-prompt_toolkit 3.0.30-2
python-ptyprocess 0.7.0-4
python-pure-eval 0.2.2-1
python-pycparser 2.21-3
python-pydantic 1.10.1-1
python-pygame-sdl2 1:2.1.0.r412.bed8099-1
python-pygments 2.13.0-1
python-pynvim 0.4.3-2
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.9-1
python-pyqt5 5.15.7-1
python-pyqt5-sip 12.11.0-1
python-pytz 2022.1-1
python-pywal 3.3.0-5
python-pywalfox 2.7.4-1
python-requests 2.28.1-1
python-resolvelib 0.8.1-1
python-retrying 1.3.3-13
python-rich 12.5.1-1
python-setuptools 1:62.3.4-1
python-six 1.16.0-6
python-slugify 6.1.2-1
python-soupsieve 2.3.2.post1-1
python-stack-data 0.5.0-1
python-tasklib 2.4.3-3
python-tenacity 8.0.1-3
python-text-unidecode 1.3-8
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-traitlets 5.3.0-1
python-trove-classifiers 2022.8.31-1
python-typing_extensions 4.3.0-1
python-tzlocal 1:2.1-1
python-ujson 5.4.0-1
python-urllib3 1.26.12-1
python-urwid 2.1.2-3
python-userpath 1.8.0-1
python-validate-pyproject 0.10.1-1
python-wcwidth 0.2.5-6
python-webencodings 0.5.1-9
python-websockets 10.3-1
python-xlib 0.31-3
python-yaml 6.0-1
qbittorrent 4.4.5-1
qpdf 10.6.3-1
qt5-base 5.15.5+kde+r180-1
qt5-declarative 5.15.5+kde+r19-1
qt5-graphicaleffects 5.15.5+kde+r0-1
qt5-multimedia 5.15.5+kde+r1-1
qt5-quickcontrols 5.15.5+kde+r0-1
qt5-quickcontrols2 5.15.5+kde+r6-1
qt5-svg 5.15.5+kde+r11-1
qt5-translations 5.15.5+kde+r2-1
qt5-wayland 5.15.5+kde+r38-3
qt5-websockets 5.15.5+kde+r3-1
qt5-x11extras 5.15.5+kde+r0-1
qt6-base 6.3.1-1
qt6-svg 6.3.1-1
qt6-translations 6.3.1-1
quazip-qt5 1.3-1
ragel 6.10-3
ranger 1.9.3-4
rav1e 0.5.1-2
re2 1:20220601-1
readline 8.1.002-1
realtime-privileges 4-1
reaper 6.66-1
renpy 8.0.1-2
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
ripgrep 13.0.0-2
rofi 1.7.5-1
rtkit 0.13-2
rubberband 3.0.0-2
run-parts 5.5-1
runc 1.1.4-1
rxvt-unicode 9.30-1
rxvt-unicode-terminfo 9.30-1
sbc 2.0-1
screenkey 1.5-2
scribus 1.5.8-9
sdl2 2.24.0-1
sdl2_image 2.6.2-1
sdl2_mixer 2.6.2-1
sdl2_ttf 2.20.1-1
sed 4.8-1
semver 7.3.7-1
shaderc 2022.1-4
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
shotcut 22.06.23-1
simplescreenrecorder 0.4.4-1
slang 2.3.3-1
snappy 1.1.9-2
sndio 1.9.0-1
sound-theme-freedesktop 0.8-5
